country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour,weekday,pollutant_range,aqi_category,season
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - Hspcb",2026-03-13 15:00:00,28.6701,76.9254,No2,12.0,14.0,13.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - Hspcb",2026-03-13 15:00:00,28.6701,76.9254,So2,6.0,7.0,7.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - Hspcb",2026-03-13 15:00:00,28.6701,76.9254,Co,44.0,50.0,47.0,2026,3,13,15,Friday,6.0,N/A,Summer
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - Hspcb",2026-03-13 15:00:00,28.3419248,77.319699,Pm10,155.0,214.5,214.5,2026,3,13,15,Friday,59.5,N/A,Summer
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - Hspcb",2026-03-13 15:00:00,28.3419248,77.319699,No2,19.0,21.0,20.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - Gpcb",2026-03-13 15:00:00,23.221714,72.654328,Nh3,3.0,8.0,5.0,2026,3,13,15,Friday,5.0,N/A,Summer
India,Gujarat,Nandesari,"Gidc, Nandesari - Nandesari Ind. Association",2026-03-13 15:00:00,22.410802,73.097923,No2,9.0,85.0,85.0,2026,3,13,15,Friday,76.0,N/A,Summer
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",2026-03-13 15:00:00,22.320153,73.216285,Nh3,1.0,5.0,3.0,2026,3,13,15,Friday,4.0,N/A,Summer
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - Hspcb",2026-03-13 15:00:00,29.966942,76.875879,Pm2.5,87.0,213.0,143.0,2026,3,13,15,Friday,126.0,N/A,Summer
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - Hspcb",2026-03-13 15:00:00,29.966942,76.875879,Pm10,102.0,154.0,126.0,2026,3,13,15,Friday,52.0,N/A,Summer
