country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",13-03-2026 15:00,19.786089,72.757971,PM10,86,121,107
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",13-03-2026 15:00,19.786089,72.757971,SO2,1,37,11
India,Maharashtra,Beed,"Bir, Beed - MPCB",13-03-2026 15:00,18.988474,75.753873,PM10,40,363,101
India,Maharashtra,Beed,"Bir, Beed - MPCB",13-03-2026 15:00,18.988474,75.753873,SO2,7,52,19
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",13-03-2026 15:00,19.296481,72.840923,CO,19,88,57
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",13-03-2026 15:00,19.053536,72.84643,NO2,42,101,61
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",13-03-2026 15:00,19.053536,72.84643,SO2,1,5,2
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",13-03-2026 15:00,19.053536,72.84643,CO,2,116,109
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-03-2026 15:00,19.065931,72.862131,PM2.5,50,109,76
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-03-2026 15:00,19.065931,72.862131,NO2,16,56,32
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-03-2026 15:00,19.065931,72.862131,NH3,3,10,6
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-03-2026 15:00,19.065931,72.862131,SO2,1,6,2
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",13-03-2026 15:00,19.2243333,72.8658113,PM2.5,31,60,39
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",13-03-2026 15:00,19.2243333,72.8658113,PM10,45,87,57
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",13-03-2026 15:00,19.2243333,72.8658113,CO,15,20,17
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-03-2026 15:00,18.9767,72.838,NH3,6,17,10
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",13-03-2026 15:00,19.192056,72.9585188,PM10,85,135,118
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",13-03-2026 15:00,19.192056,72.9585188,NH3,2,4,3
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",13-03-2026 15:00,19.192056,72.9585188,CO,52,52,52
